scientific_name,chinese_name,matched_scientific_name,inaturalist_taxon_id,rank,record_count,iconic_taxon_name,taxon_kingdom_name,taxon_class_name,taxon_family_name,taxon_genus_name,observations_count,source,error,queried_at
Abelia chinensis,糯米条,Abelia chinensis,553157,species,2,Plantae,Plantae,Magnoliopsida,Caprifoliaceae,Abelia,2215,iNaturalist,,2026-06-16T18:48:12
Abelmoschus esculentus,秋葵,Abelmoschus esculentus,157765,species,1,Plantae,Plantae,Magnoliopsida,Malvaceae,Abelmoschus,5304,iNaturalist,,2026-06-16T18:48:12
Abelmoschus manihot,黄蜀葵,Abelmoschus manihot,157766,species,1,Plantae,Plantae,Magnoliopsida,Malvaceae,Abelmoschus,736,iNaturalist,,2026-06-16T18:48:12
Abelmoschus moschatus,黄葵,Abelmoschus moschatus,157767,species,3,Plantae,Plantae,Magnoliopsida,Malvaceae,Abelmoschus,1447,iNaturalist,,2026-06-16T18:48:12
Abelmoschus rhodopetalus,箭叶秋葵,Abelmoschus rhodopetalus,1516708,species,4,Plantae,Plantae,Magnoliopsida,Malvaceae,Abelmoschus,570,iNaturalist,,2026-06-16T18:48:12
Abisara echerius,蛇目褐蚬蝶,Abisara echerius,62317,species,34,Insecta,Animalia,Insecta,Riodinidae,Abisara,4643,iNaturalist,,2026-06-16T18:48:12
Abortiporus biennis,二年残孔菌,Abortiporus biennis,118041,species,1,Fungi,Fungi,Agaricomycetes,Podoscyphaceae,Abortiporus,10651,iNaturalist,,2026-06-16T18:48:12
Abraxas illuminata,金星尺蛾,Abraxas illuminata,194589,species,20,Insecta,Animalia,Insecta,Geometridae,Abraxas,1292,iNaturalist,,2026-06-16T18:48:12
Abrus precatorius,相思子,Abrus precatorius,122099,species,5,Plantae,Plantae,Magnoliopsida,Fabaceae,Abrus,9651,iNaturalist,,2026-06-16T18:48:12
Abutilon theophrasti,苘麻,Abutilon theophrasti,60214,species,1,Plantae,Plantae,Magnoliopsida,Malvaceae,Abutilon,20391,iNaturalist,,2026-06-16T18:48:12
Acacia auriculiformis,大叶相思,Acacia auriculiformis,52445,species,40,Plantae,Plantae,Magnoliopsida,Fabaceae,Acacia,5684,iNaturalist,,2026-06-16T18:48:12
Acacia confusa,台湾相思,Acacia confusa,47444,species,127,Plantae,Plantae,Magnoliopsida,Fabaceae,Acacia,8870,iNaturalist,,2026-06-16T18:48:12
Acacia mangium,马占相思,Acacia mangium,199319,species,10,Plantae,Plantae,Magnoliopsida,Fabaceae,Acacia,2473,iNaturalist,,2026-06-16T18:48:12
Acacia podalyriifolia,珍珠金合欢,Acacia podalyriifolia,75252,species,5,Plantae,Plantae,Magnoliopsida,Fabaceae,Acacia,3630,iNaturalist,,2026-06-16T18:48:12
Acacia terminalis,阳光相思,Acacia terminalis,157881,species,1,Plantae,Plantae,Magnoliopsida,Fabaceae,Acacia,4284,iNaturalist,,2026-06-16T18:48:12
Acacia uncifolia,,Acacia uncifolia,560392,species,1,Plantae,Plantae,Magnoliopsida,Fabaceae,Acacia,380,iNaturalist,,2026-06-16T18:48:12
Acalypha australis,铁苋菜,Acalypha australis,157889,species,20,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Acalypha,3401,iNaturalist,,2026-06-16T18:48:13
Acalypha herzogiana,红尾铁苋,Acalypha herzogiana,868716,species,7,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Acalypha,1903,iNaturalist,,2026-06-16T18:48:13
Acalypha hispida,红穗铁苋菜,Acalypha hispida,208742,species,101,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Acalypha,6477,iNaturalist,,2026-06-16T18:48:13
Acalypha indica,热带铁苋,Acalypha indica,157894,species,1,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Acalypha,5105,iNaturalist,,2026-06-16T18:48:13
Acalypha rhomboidea,北美铁苋,Acalypha rhomboidea,157903,species,1,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Acalypha,15963,iNaturalist,,2026-06-16T18:48:13
Acalypha siamensis,菱叶铁苋菜,Acalypha siamensis,344231,species,38,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Acalypha,507,iNaturalist,,2026-06-16T18:48:13
Acalypha wilkesiana,红桑,Acalypha wilkesiana,281562,species,60,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Acalypha,9210,iNaturalist,,2026-06-16T18:48:13
Acanthopagrus latus,黄鳍棘鲷,Acanthopagrus latus,245762,species,1,Actinopterygii,Animalia,Actinopterygii,Sparidae,Acanthopagrus,248,iNaturalist,,2026-06-16T18:48:13
Acanthopagrus schlegelii,黑棘鲷,Acanthopagrus schlegelii,354333,species,4,Actinopterygii,Animalia,Actinopterygii,Sparidae,Acanthopagrus,552,iNaturalist,,2026-06-16T18:48:14
Acanthosepion pharaonis,虎斑乌贼,Acanthosepion pharaonis,1500642,species,5,Mollusca,Animalia,Cephalopoda,Sepiidae,Acanthosepion,1002,iNaturalist,,2026-06-16T18:48:14
Acanthus ilicifolius,老鼠簕,Acanthus ilicifolius,188925,species,15,Plantae,Plantae,Magnoliopsida,Acanthaceae,Acanthus,2081,iNaturalist,,2026-06-16T18:48:14
Acarospora fuscata,暗黑微孢衣,Acarospora fuscata,182542,species,1,Fungi,Fungi,Lecanoromycetes,Acarosporaceae,Acarospora,3381,iNaturalist,,2026-06-16T18:48:14
Acer buergerianum,三角槭,Acer buergerianum,337792,species,2,Plantae,Plantae,Magnoliopsida,Sapindaceae,Acer,4808,iNaturalist,,2026-06-16T18:48:14
Acer palmatum,鸡爪槭,Acer palmatum,63512,species,25,Plantae,Plantae,Magnoliopsida,Sapindaceae,Acer,58925,iNaturalist,,2026-06-16T18:48:14
Acer serrulatum,台湾五裂枫,Acer serrulatum,704074,species,2,Plantae,Plantae,Magnoliopsida,Sapindaceae,Acer,3570,iNaturalist,,2026-06-16T18:48:14
Aceria tristriata,核桃绒毛瘿螨,Aceria tristriata,776436,species,1,Arachnida,Animalia,Arachnida,Eriophyidae,Aceria,405,iNaturalist,,2026-06-16T18:48:14
Achaea serva,人心果阿夜蛾,Achaea serva,244053,species,2,Insecta,Animalia,Insecta,Erebidae,Achaea,1069,iNaturalist,,2026-06-16T18:48:14
Acheron longus,锯角蝶角蛉,Acheron longus,1290471,species,23,Insecta,Animalia,Insecta,Myrmeleontidae,Acheron,893,iNaturalist,,2026-06-16T18:48:14
Acherontia lachesis,鬼脸天蛾,Acherontia lachesis,121837,species,2,Insecta,Animalia,Insecta,Sphingidae,Acherontia,2999,iNaturalist,,2026-06-16T18:48:14
Acheta domesticus,家蟋蟀,Acheta domesticus,133220,species,1,Insecta,Animalia,Insecta,Gryllidae,Acheta,4553,iNaturalist,,2026-06-16T18:48:14
Achimenes grandiflora,大花长筒花,Achimenes grandiflora,153062,species,2,Plantae,Plantae,Magnoliopsida,Gesneriaceae,Achimenes,648,iNaturalist,,2026-06-16T18:48:14
Achyranthes aspera,土牛膝,Achyranthes aspera,157960,species,1,Plantae,Plantae,Magnoliopsida,Amaranthaceae,Achyranthes,10048,iNaturalist,,2026-06-16T18:48:14
Acisoma panorpoides,锥腹蜻,Acisoma panorpoides,93195,species,7,Insecta,Animalia,Insecta,Libellulidae,Acisoma,6400,iNaturalist,,2026-06-16T18:48:14
Acmella uliginosa,沼生金纽扣,Acmella uliginosa,121285,species,2,Plantae,Plantae,Magnoliopsida,Asteraceae,Acmella,2128,iNaturalist,,2026-06-16T18:48:14
Acorus calamus,菖蒲,Acorus calamus,82306,species,5,Plantae,Plantae,Liliopsida,Acoraceae,Acorus,4144,iNaturalist,,2026-06-16T18:48:15
Acorus gramineus,金钱蒲,Acorus gramineus,327370,species,121,Plantae,Plantae,Liliopsida,Acoraceae,Acorus,1852,iNaturalist,,2026-06-16T18:48:15
Acosmeryx anceus,姬缺角天蛾,Acosmeryx anceus,121804,species,5,Insecta,Animalia,Insecta,Sphingidae,Acosmeryx,1234,iNaturalist,,2026-06-16T18:48:15
Acridotheres cristatellus,八哥,Acridotheres cristatellus,14872,species,274,Aves,Animalia,Aves,Sturnidae,Acridotheres,9943,iNaturalist,,2026-06-16T18:48:15
Acridotheres javanicus,爪哇八哥,Acridotheres javanicus,145095,species,2,Aves,Animalia,Aves,Sturnidae,Acridotheres,15824,iNaturalist,,2026-06-16T18:48:15
Acridotheres tristis,家八哥,Acridotheres tristis,204454,species,14,Aves,Animalia,Aves,Sturnidae,Acridotheres,65990,iNaturalist,,2026-06-16T18:48:15
Acrocephalus bistrigiceps,黑眉苇莺,Acrocephalus bistrigiceps,116795,species,2,Aves,Animalia,Aves,Acrocephalidae,Acrocephalus,1466,iNaturalist,,2026-06-16T18:48:15
Acrocephalus orientalis,东方大苇莺,Acrocephalus orientalis,144928,species,3,Aves,Animalia,Aves,Acrocephalidae,Acrocephalus,3108,iNaturalist,,2026-06-16T18:48:15
Acronychia pedunculata,山油柑,Acronychia pedunculata,556222,species,9,Plantae,Plantae,Magnoliopsida,Rutaceae,Acronychia,1051,iNaturalist,,2026-06-16T18:48:16
Acrostichum aureum,卤蕨,Acrostichum aureum,136915,species,19,Plantae,Plantae,Polypodiopsida,Pteridaceae,Acrostichum,2921,iNaturalist,,2026-06-16T18:48:16
Acrostichum speciosum,尖叶卤蕨,Acrostichum speciosum,196664,species,1,Plantae,Plantae,Polypodiopsida,Pteridaceae,Acrostichum,1002,iNaturalist,,2026-06-16T18:48:16
Actias ningpoana,宁波尾大蚕蛾,Actias ningpoana,68365,species,4,Insecta,Animalia,Insecta,Saturniidae,Actias,2481,iNaturalist,,2026-06-16T18:48:16
Actinidia chinensis,中华猕猴桃,Actinidia chinensis,55149,species,2,Plantae,Plantae,Magnoliopsida,Actinidiaceae,Actinidia,3053,iNaturalist,,2026-06-16T18:48:16
Actitis hypoleucos,矶鹬,Actitis hypoleucos,3978,species,13,Aves,Animalia,Aves,Scolopacidae,Actitis,61200,iNaturalist,,2026-06-16T18:48:16
Acusta redfieldi,细纹尖巴蜗牛,Acusta redfieldi,1080675,species,3,Mollusca,Animalia,Gastropoda,Camaenidae,Acusta,1419,iNaturalist,,2026-06-16T18:48:16
Acytolepis puspa,钮灰蝶,Acytolepis puspa,320002,species,4,Insecta,Animalia,Insecta,Lycaenidae,Acytolepis,10504,iNaturalist,,2026-06-16T18:48:16
Adenanthera microsperma,海红豆,Adenanthera microsperma,487648,species,3,Plantae,Plantae,Magnoliopsida,Fabaceae,Adenanthera,355,iNaturalist,,2026-06-16T18:48:16
Adenanthera pavonina,海红豆,Adenanthera pavonina,158007,species,7,Plantae,Plantae,Magnoliopsida,Fabaceae,Adenanthera,2965,iNaturalist,,2026-06-16T18:48:16
Adenopodia spicata,腺柄豆,Adenopodia spicata,579105,species,1,Plantae,Plantae,Magnoliopsida,Fabaceae,Adenopodia,444,iNaturalist,,2026-06-16T18:48:16
Adenosma glutinosum,毛麝香,Adenosma glutinosa,504103,species,1,Plantae,Plantae,Magnoliopsida,Plantaginaceae,Adenosma,591,iNaturalist,,2026-06-16T18:48:16
Adenostemma lavenia,下田菊,Adenostemma lavenia,158017,species,1,Plantae,Plantae,Magnoliopsida,Asteraceae,Adenostemma,735,iNaturalist,,2026-06-16T18:48:16
Adiantum capillus-veneris,铁线蕨,Adiantum capillus-veneris,63916,species,73,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,24884,iNaturalist,,2026-06-16T18:48:16
Adiantum caudatum,鞭叶铁线蕨,Adiantum caudatum,158019,species,6,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,1437,iNaturalist,,2026-06-16T18:48:16
Adiantum concinnum,,Adiantum concinnum,275606,species,1,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,1302,iNaturalist,,2026-06-16T18:48:16
Adiantum flabellulatum,扇叶铁线蕨,Adiantum flabellulatum,427840,species,127,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,2996,iNaturalist,,2026-06-16T18:48:17
Adiantum hispidulum,毛叶铁线蕨,Adiantum hispidulum,158020,species,4,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,5331,iNaturalist,,2026-06-16T18:48:17
Adiantum malesianum,假鞭叶铁线蕨,Adiantum malesianum,502021,species,15,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,833,iNaturalist,,2026-06-16T18:48:17
Adiantum philippense,半月形铁线蕨,Adiantum philippense,138352,species,7,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,2379,iNaturalist,,2026-06-16T18:48:17
Adiantum raddianum,楔叶铁线蕨,Adiantum raddianum,158023,species,3,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,3317,iNaturalist,,2026-06-16T18:48:17
Adiantum tenerum,脆铁线蕨,Adiantum tenerum,132645,species,10,Plantae,Plantae,Polypodiopsida,Pteridaceae,Adiantum,1770,iNaturalist,,2026-06-16T18:48:17
Adina pilulifera,水团花,Adina pilulifera,556248,species,4,Plantae,Plantae,Magnoliopsida,Rubiaceae,Adina,498,iNaturalist,,2026-06-16T18:48:17
Adinandra millettii,杨桐,Adinandra millettii,556510,species,1,Plantae,Plantae,Magnoliopsida,Pentaphylacaceae,Adinandra,257,iNaturalist,,2026-06-16T18:48:17
Adonis apennina,北侧金盏花,Adonis apennina,1291358,species,1,Plantae,Plantae,Magnoliopsida,Ranunculaceae,Adonis,1004,iNaturalist,,2026-06-16T18:48:18
Adoretus cribratus,,Adoretus cribratus,1113247,species,1,Insecta,Animalia,Insecta,Scarabaeidae,Adoretus,34,iNaturalist,,2026-06-16T18:48:18
Adoxophyes privatana,茶角纹小卷蛾,Adoxophyes privatana,204059,species,6,Insecta,Animalia,Insecta,Tortricidae,Adoxophyes,1517,iNaturalist,,2026-06-16T18:48:18
Adrisa magna,大鳖土蝽,Adrisa magna,343621,species,2,Insecta,Animalia,Insecta,Cydnidae,Adrisa,897,iNaturalist,,2026-06-16T18:48:18
Aechmea fasciata,美叶光萼荷,Aechmea fasciata,416202,species,5,Plantae,Plantae,Liliopsida,Bromeliaceae,Aechmea,3173,iNaturalist,,2026-06-16T18:48:18
