id,observed_on,time_observed_at,captive_cultivated,latitude,longitude,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
352978136,2026-04-25T00:00:00,2026-04-25T02:09:00,False,22.1731813521,113.5948397947,Aves,Animalia,Chordata,Aves,Gruiformes,Rallidae,Amaurornis,Amaurornis phoenicurus,
353282278,2026-04-25T00:00:00,2026-04-25T12:36:00,False,22.2066692691,113.5940420974,Plantae,Plantae,Tracheophyta,Gnetopsida,Gnetales,Gnetaceae,Gnetum,Gnetum luofuense,
353361092,2026-04-25T00:00:00,2026-04-25T16:12:38,False,22.1666,113.564921,Plantae,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Triadica,Triadica cochinchinensis,
353380730,2026-04-25T00:00:00,2026-04-25T16:58:14,False,22.2135434832,113.5886700579,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,Camellia hongkongensis,
353439829,2026-04-25T00:00:00,2026-04-25T10:08:03,False,22.1771861111,113.5719194444,Aves,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres cristatellus,
353625562,2026-04-25T00:00:00,2026-04-25T17:11:11,False,22.1882640846,113.5712210056,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros vaccinioides,
353755475,2026-04-25T00:00:00,2026-04-25T18:19:25,False,22.1212166667,113.5763833333,Aves,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,
353804078,2026-04-25T00:00:00,2026-04-25T17:41:00,False,22.1755808498,113.5999037659,Insecta,Animalia,Arthropoda,Insecta,Coleoptera,Cicindelidae,Cosmodela,Cosmodela aurulenta,
353804131,2026-04-25T00:00:00,2026-04-25T18:03:00,False,22.1051706824,113.5884828621,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lexias,Lexias pardalis,
353804309,2026-04-25T00:00:00,2026-04-25T21:39:00,False,22.1199478553,113.5858731704,Insecta,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nanodiodes,Nanodiodes piceus,
353989548,2026-04-24T00:00:00,2026-04-24T18:35:00,False,22.1667850279,113.5580165187,Plantae,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sphagneticola,Sphagneticola trilobata,
353999076,2026-04-24T00:00:00,2026-04-24T11:32:00,False,22.167832109,113.55436657,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Delias,Delias pasithoe,
354235644,2026-04-26T00:00:00,2026-04-26T10:30:10,False,22.1734288979,113.5633842129,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Nandina,Nandina domestica,
354247207,2026-04-26T00:00:00,2026-04-26T00:40:00,False,22.1214898049,113.5742654973,Plantae,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis debilis,
354309833,2026-04-26T00:00:00,2026-04-26T19:57:50,False,22.1228652514,113.5740042536,Insecta,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Opisthoplatia,Opisthoplatia orientalis,
354315687,2026-04-26T00:00:00,2026-04-26T20:11:00,False,22.1229584159,113.5740061127,Fungi,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucocoprinus,Leucocoprinus fragilissimus,
