id,observed_on,time_observed_at,captive_cultivated,latitude,longitude,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
352189661,2026-04-24T00:00:00,2026-04-24T14:00:00,False,22.1181609076,113.5689194638,Arachnida,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Nephila,Nephila pilipes,
352190193,2026-04-24T00:00:00,2026-04-24T14:00:00,False,22.1177068897,113.5691083048,Insecta,Animalia,Arthropoda,Insecta,Coleoptera,Cicindelidae,Cosmodela,Cosmodela aurulenta,
352325298,2026-04-24T00:00:00,2026-04-24T02:23:32,False,22.2116925103,113.5535489023,Insecta,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Leptocoris,Leptocoris vicinus,
352403916,2026-04-24T00:00:00,2026-04-24T05:50:00,False,22.2009194778,113.552813977,Aves,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus sinensis,
352403926,2026-04-24T00:00:00,2026-04-24T05:50:00,False,22.2008232474,113.5525809601,Aves,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops simplex,
352403940,2026-04-24T00:00:00,,False,22.2016340634,113.5527730733,Aves,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer montanus,
352404910,2026-04-24T00:00:00,2026-04-24T07:29:40,False,22.1627599192,113.5435606912,Aves,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Eudynamys,Eudynamys scolopaceus,
352410519,2026-04-24T00:00:00,2026-04-24T06:14:00,False,22.1997153307,113.5516711809,Insecta,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,Tetramorium bicarinatum,
352410533,2026-04-24T00:00:00,2026-04-24T06:18:00,False,22.199852737,113.5514596654,Aves,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Copsychus,Copsychus saularis,
352410534,2026-04-24T00:00:00,2026-04-24T06:20:00,False,22.199852737,113.5514596654,Aves,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Gracula,Gracula religiosa,
