id,scientific_name,chinese_name,type,concern,observed_on,time_observed_at,latitude,longitude,area,light_gradient
352410606,Platydemus manokwari,新几内亚扁虫,入侵扁形动物,中,2026-04-24T00:00:00,2026-04-24T07:16:00,22.1992733333,113.5512433333,澳门半岛,高光区
352456787,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T10:52:20,22.1238364,113.5521611,路环,相对低光区
352463281,Anoplolepis gracilipes,长足捷蚁,入侵昆虫,高,2026-04-24T00:00:00,2026-04-24T11:16:43,22.2059848912,113.5388401436,澳门半岛,高光区
352608602,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T11:31:00,22.2037882611,113.5486734219,澳门半岛,高光区
352609165,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T17:31:07,22.215975,113.5451733333,澳门半岛,高光区
352609264,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T17:31:17,22.21596743,113.54513904,澳门半岛,高光区
352627260,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T17:01:00,22.1531445,113.5594866667,氹仔,中高光区
352635487,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T17:02:00,22.2041,113.5526366667,澳门半岛,高光区
352639542,Solenopsis invicta,红火蚁,入侵昆虫,高,2026-04-24T00:00:00,2026-04-24T17:34:00,22.1517888333,113.5586866667,氹仔,中高光区
352641601,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T18:49:49,22.2075542646,113.5484219489,澳门半岛,高光区
352642039,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T18:50:36,22.207887941,113.5490170612,澳门半岛,高光区
352655083,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T11:48:42,22.1967633333,113.55027,澳门半岛,高光区
352704532,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T14:40:55,22.2166,113.544905,澳门半岛,高光区
352707400,Eleutherodactylus planirostris,温室蟾,外来两栖类,中,2026-04-24T00:00:00,2026-04-24T16:29:22,22.2077,113.547745,澳门半岛,高光区
352725475,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-24T00:00:00,2026-04-24T14:40:55,22.2166,113.544905,澳门半岛,高光区
353132064,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-25T00:00:00,2026-04-25T07:43:18,22.13426,113.578232,路环,相对低光区
353139973,Anoplolepis gracilipes,长足捷蚁,入侵昆虫,高,2026-04-25T00:00:00,2026-04-25T07:57:39,22.134311,113.577888,路环,相对低光区
353155526,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-25T00:00:00,2026-04-25T08:25:04,22.2044972,113.5520576,澳门半岛,高光区
353192666,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-25T00:00:00,2026-04-25T09:37:50,22.1507285675,113.5588669685,氹仔,中高光区
353192692,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-25T00:00:00,2026-04-25T09:37:41,22.150725,113.5589316667,氹仔,中高光区
353192926,Sphagneticola trilobata,南美蟛蜞菊,入侵植物,高,2026-04-25T00:00:00,2026-04-25T09:38:26,22.1506250891,113.5587158027,氹仔,中高光区
