taxon,taxon_label,records_2025,records_2026,record_delta,percentage_2025,percentage_2026,percentage_point_delta,species_2025,species_2026
Plantae,植物,25441,9736,-15705,76.0,53.0,-23.0,1970,1074
Insecta,昆虫,2929,3673,744,8.7,20.0,11.3,475,574
Aves,鸟类,3167,3007,-160,9.5,16.4,6.9,141,95
Animalia,其他动物,380,536,156,1.1,2.9,1.8,63,38
Amphibia,两栖类,206,303,97,0.6,1.6,1.0,10,7
Mollusca,软体动物,274,273,-1,0.8,1.5,0.7,43,28
Reptilia,爬行类,252,239,-13,0.8,1.3,0.5,29,20
Arachnida,蛛形纲,187,212,25,0.6,1.2,0.6,77,58
Actinopterygii,鱼类,324,177,-147,1.0,1.0,0.0,51,38
Fungi,真菌,246,152,-94,0.7,0.8,0.1,100,63
Mammalia,哺乳类,73,54,-19,0.2,0.3,0.1,16,10
Protozoa,原生动物,3,4,1,0.0,0.0,0.0,2,3
